"","PLT_CN","STATE","PLOT","LAT","LON","spcd","FORTYPE","FORGRP","HT_MAX","BOLE_BIOMASS","TOP_BIOMASS","TOTAL_BIOMASS","common_name","scientific_name","FORGRP_NAME"
"1",3521210010690,"AZ",282,31.942584,-109.324822,118,368,360,7.62,126.657270793273,26.0940383637797,152.751309157053,"Chihuahua pine","Pinus leiophylla var. chihuahuana","Other western softwoods group"
"2",3521210010690,"AZ",282,31.942584,-109.324822,112,368,360,21.0312,1878.1066852786,303.513978905391,2181.62066418399,"Apache pine","Pinus engelmannii","Other western softwoods group"
"3",3521210010690,"AZ",282,31.942584,-109.324822,202,368,360,13.716,201.845390728694,35.9268844163703,237.772275145064,"Douglas-fir","Pseudotsuga menziesii","Other western softwoods group"
"4",3521258010690,"AZ",283,31.935332,-109.255143,202,201,200,18.288,1673.14382229299,265.279787265423,1938.42360955841,"Douglas-fir","Pseudotsuga menziesii","Douglas-fir group"
"5",3522234010690,"AZ",553,31.465532,-110.320652,118,971,970,6.096,145.294574982,27.529757275,172.824332257,"Chihuahua pine","Pinus leiophylla var. chihuahuana","Other hardwoods group"
"6",3522457010690,"AZ",608,31.36591,-110.253023,112,971,970,7.0104,277.8241053937,49.2117105701,327.0358159638,"Apache pine","Pinus engelmannii","Other hardwoods group"
"7",3540780010690,"AZ",1,33.617643,-109.555062,122,221,220,31.6992,1951.3514763557,321.5879693728,2272.9394457285,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"8",3540803010690,"AZ",2,33.570438,-109.97602,122,221,220,9.4488,275.7323706403,53.0801988099,328.8125694502,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"9",3540873010690,"AZ",4,33.562222,-109.597998,122,221,220,17.6784,3091.0148270373,555.3145382258,3646.3293652631,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"10",3540902010690,"AZ",5,33.56631,-109.561304,122,221,220,14.0208,3883.94664993225,649.07357459565,4533.0202245279,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"11",3540972010690,"AZ",6,33.535195,-109.96782,122,185,180,6.4008,25.52108199,5.6740991303,31.1951811203,"ponderosa pine","Pinus ponderosa","Pinyon / juniper group"
"12",3541083010690,"AZ",12,33.511932,-109.538519,122,221,220,19.812,1799.2821140932,337.31208148095,2136.59419557415,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"13",3541113010690,"AZ",13,33.468575,-109.982599,122,221,220,12.4968,3385.1133135173,645.13359181775,4030.24690533505,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"14",3541166010690,"AZ",14,33.488854,-109.927467,122,221,220,16.4592,5403.45142058775,972.7965401693,6376.24796075705,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"15",3541198010690,"AZ",15,33.473947,-109.873841,122,184,180,6.7056,115.6487986175,21.20916195235,136.85796056985,"ponderosa pine","Pinus ponderosa","Pinyon / juniper group"
